[2022-03-08 02:39:25,183:  DEBUG : connection] new_auth_plugin: caching_sha2_password
[2022-03-08 02:43:13,234:  DEBUG : connection] new_auth_plugin: caching_sha2_password
[2022-03-08 02:43:13,236:  INFO : table] Connection is stablished...
[2022-03-08 02:52:38,788:  ERROR : table] Table is not created...
[2022-03-08 02:52:50,294:  ERROR : table] Table is not created...
[2022-03-08 02:53:57,598:  ERROR : table] Table is not created...make_connection() got an unexpected keyword argument 'db_name'
[2022-03-08 02:55:43,535:  ERROR : table] Table is not created...Unsupported argument 'db_name'
[2022-03-08 02:56:49,743:  ERROR : table] Table is not created...Unsupported argument 'db_name'
[2022-03-08 02:57:54,871:  ERROR : table] Table is not created...Unsupported argument 'db_name'
[2022-03-08 02:58:46,289:  DEBUG : connection] new_auth_plugin: caching_sha2_password
[2022-03-08 02:58:46,294:  INFO : table] Connection is stablished...
[2022-03-08 02:58:46,294:  INFO : table] creating table............
[2022-03-08 02:58:46,398:  INFO : table] Table is created...
[2022-03-08 03:04:07,856:  DEBUG : connection] new_auth_plugin: caching_sha2_password
[2022-03-08 03:04:07,858:  INFO : table] Connection is stablished...
[2022-03-08 03:04:07,858:  INFO : table] inserting data............
[2022-03-08 03:04:07,884:  ERROR : table] Data is not inserted...1136 (21S01): Column count doesn't match value count at row 1
[2022-03-08 03:05:56,543:  DEBUG : connection] new_auth_plugin: caching_sha2_password
[2022-03-08 03:05:56,545:  INFO : table] Connection is stablished...
[2022-03-08 03:05:56,546:  INFO : table] inserting data............
[2022-03-08 03:05:56,547:  ERROR : table] Data is not inserted...1136 (21S01): Column count doesn't match value count at row 1
[2022-03-08 03:10:52,982:  DEBUG : connection] new_auth_plugin: caching_sha2_password
[2022-03-08 03:10:52,984:  INFO : table] Connection is stablished...
[2022-03-08 03:10:52,984:  INFO : table] inserting data............
[2022-03-08 03:10:52,995:  INFO : table] Data is inserted...
